,codigo,tipo,municipio,territorial,nss,fuente,altitud,latitud,longitud,ubicacion,database,table,codigo_ideam,categoria_ideam,emails
122,1025,Limnígrafo,Vegachí,Zenufaná,Río San Bartolo y otros directos al Magdalena Medio - NSS,Río de la Cruz,984,6.7699190,-74.8004690,,mauricioTesting,n_1025_analog,,,[]
123,1026,Limnígrafo,Envigado,Aburrá Sur,Río Negro - NSS,Quebrada Espíritu Santo,2620,6.1772400,-75.4953300,,nivel,n_1026,,,[]
124,1027,Limnígrafo,Andes,Citará,Río San Juan - SZH (md),Quebrada San Agustín,1777,5.6242650,-75.9430770,,mauricioTesting,n_1027_analog,,,[]
125,1028,Limnígrafo,Caracolí,Zenufaná,Río Nus - NSS,Quebrada La Reina,610,6.4109070,-74.7560278,,mauricioTesting,n_1028_analog,,,[]
126,1029,Limnígrafo,La Pintada,Cartama,Directos R. Cauca (mi) - R. Amagá y Q. Sinifaná - NSS,Río Cartama,636,5.7582930,-75.6410000,,nivel,n_1029,,,['instrumentacionpiragua@udea.edu.co']
127,1030,Limnígrafo,Donmatías,Tahamíes,Rio Grande - Chico - NSS,Quebrada Don Matías,2147,6.4903530,-75.4002560,,mauricioTesting,n_1030_analog,,,[]
128,1031,Limnígrafo,Zaragoza,Panzenú,Río Tigui - NSS,Quebrada La Occa,63,7.4897250,-74.8683450,,mauricioTesting,n_1031_analog,,,[]
129,1034,Limnígrafo,Nechí,Panzenú,Otros,Rio Cauca,1,8.0556550,-74.8736870,,mauricioTesting,n_1034_analog,,,['umbralespiragua@gmail.com']
130,1035,Limnígrafo,Nechí,Panzenú,Otros,Caño Mandinga,1,8.0599700,-74.7922470,,mauricioTesting,n_1035_analog,,,['umbralespiragua@gmail.com']
131,1036,Limnígrafo,Cáceres,Panzenú,Otros,Rio Cauca,1,7.7795000,-75.2096000,,mauricioTesting,n_1036_analog,,,['umbralespiragua@gmail.com']
132,1037,Limnígrafo,Cáceres,Panzenú,Otros,Quebrada Noa,1,7.5978000,-75.3408000,,mauricioTesting,n_1037_analog,,,['umbralespiragua@gmail.com']
133,1038,Limnígrafo,Tarazá,Panzenú,Otros,Rio Rayo,1,7.5376860,-75.3746060,,mauricioTesting,n_1038_analog,,,['umbralespiragua@gmail.com']
134,1045,Limnígrafo,Donmatías,Tahamíes,Rio Grande - Chico - NSS,Quebrada Don Matías,2147,6.4870610,-75.3808700,,mauricioTesting,n_1045_analog,,,[]
135,1046,Limnígrafo,Donmatías,Tahamíes,Rio Grande - Chico - NSS,Don Matías - Quebrada Iborra - Peaje,2147,6.4743410,-75.3761410,,mauricioTesting,n_1046_analog,,,[]
136,1047,Limnígrafo,Donmatías,Tahamíes,Rio Grande - Chico - NSS,Don Matías - Quebrada La María,2147,6.4835230,-75.3854920,,mauricioTesting,n_1047_analog,,,[]
137,1050,Limnígrafo,Sopetrán,Hevéxicos,Otros,Rio Aurrá,1,6.4750884,-75.7727890,,mauricioTesting,n_1050_analog,,,['umbralespiragua@gmail.com']
138,1051,Limnígrafo,Carolina del Príncipe,Tahamíes,Otros,Rio Guadalupe,1,6.7237340,-75.2614740,,mauricioTesting,n_1051_analog,,,['umbralespiragua@gmail.com']
139,2001,Limnígrafo IDEAM,Caucasia,Panzenú,Río Bajo San Jorge - NSS,Río Cauca,49,7.9621389,-75.1960000,La coquera,mauricioTesting,n_2001_analog,26247020.0,LG,[]
140,2002,Limnígrafo IDEAM,La Pintada,Cartama,Río Frío y Otros Directos al Cauca - NSS,Río Cauca,1870,5.7307222,-75.6081111,La pintada,mauricioTesting,n_2002_analog,26187110.0,LG,[]
141,2003,Limnígrafo IDEAM,Nechí,Panzenú,Río Bajo Nechí (md) - NSS,Río Nechí,33,8.0301111,-74.7855556,"La esperanza, Nechí",mauricioTesting,n_2003_analog,27037010.0,LG,[]
142,2004,Limnígrafo IDEAM,Tarazá,Panzenú,Río Taraza y otros directos al Cauca (md) - NSS,Río Tarazá,110,7.5825278,-75.4200556,Las Camelias,mauricioTesting,n_2004_analog,26247050.0,LG,[]
143,2005,Limnígrafo IDEAM,Valdivia,Panzenú,Directos Río Cauca (md) - Río San Andrés y Río Espiritú Santo - NSS,Río Cauca,129,7.2870833,-75.3963056,Puerto Valdivia,mauricioTesting,n_2005_analog,26237040.0,LG,[]
144,2006,Limnígrafo IDEAM,Venecia,Cartama,Directos R. Cauca (mi) - R. Amagá y Q. Sinifaná - NSS,Río Cauca,1750,5.9659444,-75.8414722,Bolombolo,mauricioTesting,n_2006_analog,26207080.0,LG,[]
145,2007,Limnígrafo IDEAM,Zaragoza,Panzenú,Directos al Bajo Nechí (mi) - NSS,Río Nechí,180,7.4750000,-74.9208333,San Juan de Nechí,mauricioTesting,n_2007_analog,27037030.0,LG,[]
146,2008,Limnígrafo IDEAM,Puerto Berrío,Zenufaná,Río San Bartolo y otros directos al Magdalena Medio - NSS,Río Magdalena,111,6.4851389,-74.4011667,Puerto Berrío,mauricioTesting,n_2008_analog,23097030.0,LG,[]
147,2009,Limnígrafo IDEAM,Puerto Nare,Zenufaná,Río Nare - NSS,Río Nare,1274,6.2760833,-74.6733056,Canteras,mauricioTesting,n_2009_analog,23087210.0,LG,[]
148,2100,Pluviógrafo IDEAM,Belmira,Tahamíes,Rio Grande - Chico - NSS,Río Chico,3221,6.6320278,-75.6444444,PMO Belmira,mauricioTesting,p_2100_rain,27015280.0,CP,[]
149,2101,Pluviógrafo IDEAM,Jericó,Cartama,Río Frío y Otros Directos al Cauca - NSS,Río Cauca,2313,5.7991667,-75.7895278,Jericó,mauricioTesting,p_2101_rain,26185030.0,CP,[]
150,2102,Pluviógrafo IDEAM,La Pintada,Cartama,Río Frío y Otros Directos al Cauca - NSS,Río Cauca,1870,5.7307222,-75.6081111,La Pintada,mauricioTesting,p_2102_rain,26180270.0,PG,[]
151,2103,Pluviógrafo IDEAM,Maceo,Zenufaná,Río Nus - NSS,Quebrada San Lucas,980,6.5716389,-74.7947222,Maceo,mauricioTesting,p_2103_rain,23105070.0,CP,[]
152,2104,Pluviógrafo IDEAM,Medellín,Aburrá Norte,Río Aburrá - NSS,Río Medellín,1952,6.2863333,-75.6127917,Pajarito,mauricioTesting,p_2104_rain,27015290.0,CP,[]
153,2105,Pluviógrafo IDEAM,Medellín,Aburrá Norte,Río Aburrá - NSS,Río Medellín,1591,6.2532778,-75.5500000,Villanueva Villahermosa,mauricioTesting,p_2105_rain,27015300.0,CP,[]
154,2106,Pluviógrafo IDEAM,Medellín,Aburrá Norte,Río Aburrá - NSS,Río Medellín,1440,6.3297500,-75.5521111,Metro Medellín,mauricioTesting,p_2106_rain,27015310.0,CP,[]
155,2107,Pluviógrafo IDEAM,Medellín,Aburrá Norte,Río Aburrá - NSS,Río Medellín,1490,6.2206111,-75.5889806,Aeropuerto Olaya Herrera,mauricioTesting,p_2107_rain,27015330.0,SP,[]
156,2108,Pluviógrafo IDEAM,Santa Bárbara,Cartama,Río Arma,Río Arma,1680,5.8595833,-75.5562778,Santa Bárbara,mauricioTesting,p_2108_rain,26185050.0,CP,[]
157,2109,Pluviógrafo IDEAM,Santa Fé de Antioquia,Hevéxicos,Directos Río Cauca entre Río San Juan y Río Ituango (mi) - NSS,Río Tonusco,534,6.5339167,-75.8273333,Hacienda Cotové  ,mauricioTesting,p_2109_rain,26225060.0,AM,[]
158,2110,Pluviógrafo IDEAM,Santa Rosa de Osos,Tahamíes,Rio Grande - Chico - NSS,Río Grande,2600,6.7810833,-75.5608888,Aragon,mauricioTesting,p_2110_rain,27015320.0,AM,[]
159,2111,Pluviógrafo IDEAM,Valdivia,Panzenú,Directos Río Cauca (md) - Río San Andrés y Río Espiritú Santo - NSS,Río Cauca,129,7.2870833,-75.3963056,Puerto Valdivia,mauricioTesting,p_2111_rain,26230260.0,PG,[]
160,2112,Pluviógrafo IDEAM,Valdivia,Panzenú,Directos al Cauca entre Pto Valdivia y Río Nechí (md),Quebrada Valdivia,1132,7.1572778,-75.4422222,"Santa Isabel, Valdivia",mauricioTesting,p_2112_rain,26255030.0,AM,[]
161,2113,Pluviógrafo IDEAM,Vegachí,Zenufaná,Río San Bartolo y otros directos al Magdalena Medio - NSS,Río Volcan,990,6.7741111,-74.7965278,Vegachí,mauricioTesting,p_2113_rain,23105060.0,AM,[]
